Comment-Id,Post-id,Posting-User-Id,Likes,Commenting-User-Id, Comment
0,0,1,133,8,Some Random Commen with Id 0
1,0,1,28,1,Some Random Commen with Id 1
2,0,1,152,5,Some Random Commen with Id 2
3,0,1,42,8,Some Random Commen with Id 3
4,0,1,31,0,Some Random Commen with Id 4
5,0,1,97,9,Some Random Commen with Id 5
6,0,1,54,6,Some Random Commen with Id 6
7,1,9,107,5,Some Random Commen with Id 7
8,1,9,96,0,Some Random Commen with Id 8
9,1,9,27,8,Some Random Commen with Id 9
10,1,9,15,1,Some Random Commen with Id 10
11,1,9,186,4,Some Random Commen with Id 11
12,2,8,157,1,Some Random Commen with Id 12
13,2,8,72,0,Some Random Commen with Id 13
14,2,8,0,7,Some Random Commen with Id 14
15,2,8,194,2,Some Random Commen with Id 15
16,2,8,175,1,Some Random Commen with Id 16
17,4,5,26,7,Some Random Commen with Id 17
18,5,4,94,8,Some Random Commen with Id 18
19,5,4,117,0,Some Random Commen with Id 19
20,5,4,50,3,Some Random Commen with Id 20
21,6,8,36,5,Some Random Commen with Id 21
22,7,3,184,6,Some Random Commen with Id 22
23,7,3,180,8,Some Random Commen with Id 23
24,7,3,77,3,Some Random Commen with Id 24
25,7,3,150,9,Some Random Commen with Id 25
26,8,2,161,6,Some Random Commen with Id 26
27,8,2,72,3,Some Random Commen with Id 27
28,8,2,56,3,Some Random Commen with Id 28
29,8,2,45,5,Some Random Commen with Id 29
30,8,2,137,9,Some Random Commen with Id 30
31,8,2,27,2,Some Random Commen with Id 31
32,8,2,93,5,Some Random Commen with Id 32
33,8,2,101,3,Some Random Commen with Id 33
34,9,2,35,0,Some Random Commen with Id 34
35,9,2,79,3,Some Random Commen with Id 35
36,10,4,44,7,Some Random Commen with Id 36
37,10,4,152,6,Some Random Commen with Id 37
38,10,4,92,3,Some Random Commen with Id 38
39,10,4,52,9,Some Random Commen with Id 39
40,10,4,32,7,Some Random Commen with Id 40
41,10,4,28,2,Some Random Commen with Id 41
42,11,5,15,2,Some Random Commen with Id 42
